,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,system_attrs
,,,,,,bagging_fraction,bagging_freq,feature_fraction,lambda_l1,lambda_l2,min_child_samples,num_leaves,random_state,_number
44,44,TrialState.COMPLETE,0.816135952714316,2020-01-01 12:28:00.029311,2020-01-01 12:29:37.307371,0.9810553067418563,2,0.7625068627308079,0.4025654446093058,1.87165286148104e-06,9,256,68,44
45,45,TrialState.COMPLETE,0.8153877031818121,2020-01-01 12:29:37.311232,2020-01-01 12:32:11.137213,0.9434173059765651,4,0.8888451721987949,1.3493498626937033e-05,4.4017985031950326e-07,5,202,43,45
46,46,TrialState.COMPLETE,0.7866464084753547,2020-01-01 12:32:11.142530,2020-01-01 12:33:00.861120,0.5299804980173186,1,0.6805257015901551,1.7566778682076416,1.1454819315496116e-07,27,193,52,46
47,47,TrialState.COMPLETE,0.7662371974161479,2020-01-01 12:33:00.867557,2020-01-01 12:33:48.376758,0.857637599489003,3,0.8336965286645563,0.21033831909774323,2.5954196182755912e-05,69,218,35,47
48,48,TrialState.COMPLETE,0.801376403641974,2020-01-01 12:33:48.380518,2020-01-01 12:34:36.353999,0.8210365181321395,1,0.7933584838111819,0.004841631866206852,3.145099206560579e-08,20,4,73,48
49,49,TrialState.COMPLETE,0.745184272993284,2020-01-01 12:34:36.358008,2020-01-01 12:35:23.347267,0.9035466429665447,2,0.7420569811047943,0.031809623004790864,8.404308709521904e-07,87,248,57,49
50,50,TrialState.COMPLETE,0.8250319588564246,2020-01-01 12:35:23.351357,2020-01-01 12:36:55.417897,0.9755605959841563,2,0.8251431673667773,3.642434329823594,1.0401748765492007e-08,5,172,68,50
51,51,TrialState.COMPLETE,0.822508250603757,2020-01-01 12:36:55.421479,2020-01-01 12:38:23.094419,0.9741925073371193,1,0.8185535481456682,4.2301110261608414,1.0554631916927074e-08,5,169,68,51
52,52,TrialState.COMPLETE,0.8161967281081732,2020-01-01 12:38:23.098178,2020-01-01 12:39:23.855544,0.9778214213455927,2,0.8507442142927358,5.40760640439263,2.3928146832654382e-08,14,171,78,52
53,53,TrialState.COMPLETE,0.8184580695572187,2020-01-01 12:39:23.859257,2020-01-01 12:40:53.286314,0.9975154540694566,1,0.7727400428111033,0.5024220320267515,1.0005975536182175e-08,8,141,69,53
54,54,TrialState.COMPLETE,0.8146132188998443,2020-01-01 12:40:53.294336,2020-01-01 12:42:14.718327,0.9310212818304261,2,0.8225940590725097,0.12911820929242238,3.2043917767149246e-08,13,127,65,54
55,55,TrialState.COMPLETE,0.8124379228782882,2020-01-01 12:42:14.723062,2020-01-01 12:43:22.438872,0.9701090062638252,1,0.8725087666795495,9.932650201546144,0.0029203739343269235,5,164,73,55
56,56,TrialState.COMPLETE,0.8214396864040024,2020-01-01 12:43:22.444307,2020-01-01 12:44:22.717445,0.8938228889903224,2,0.7162751966249904,1.0413075511875487,1.3482586321483951e-08,17,155,62,56
57,57,TrialState.COMPLETE,0.8146457336815978,2020-01-01 12:44:22.726081,2020-01-01 12:45:16.294509,0.9993470064963462,1,0.9023877482935684,4.67636246259474,3.351300506025928e-06,25,175,76,57
58,58,TrialState.COMPLETE,0.8105908071455221,2020-01-01 12:45:16.299423,2020-01-01 12:47:10.802940,0.9215846688004283,2,0.9383971353460852,5.207694224579739e-07,9.689689925843641e-08,10,190,71,58
